Q-avg,Q-std,Q_loss,alpha,epoch,evaluation/episode-length-avg,evaluation/episode-length-max,evaluation/episode-length-min,evaluation/episode-length-std,evaluation/return-average,evaluation/return-max,evaluation/return-min,evaluation/return-std,model/max_penalty,model/mean_rollout_length,model/mean_rollout_reward,model/origin_ret,model/penalty_ret,model/val_loss,model/valid_num,perf/AverageLength,perf/AverageReturn,perf/NormalizedReturn,sampler/episodes,sampler/last-path-return,sampler/max-path-return,sampler/pool-size,sampler/total-samples,time-step,times/epoch_after_hook,times/epoch_before_hook,times/epoch_rollout_model,times/evaluation_metrics,times/evaluation_paths,times/timestep_after_hook,times/timestep_before_hook,times/train,timestep,timesteps_total,train-steps,training/Q/q1_loss,training/sac_Q/q1,training/sac_Q/q2,training/sac_Q/q2_loss,training/sac_Q/q_global_norm,training/sac_pi/alpha,training/sac_pi/alpha_loss,training/sac_pi/logp_pi,training/sac_pi/pi_entropy,training/sac_pi/pi_global_norm,training/sac_pi/policy_loss,training/sac_pi/std,training/sac_pi/valid_num
3.584851,28.465315,5.9797482,0.74226546,0,147.3,161,137,5.831809324729334,265.48032,280.3027,254.73793,6.2825203,7.272723197937012,20.0,-6.940128068416515,9.700675578522919,69.14472833513618,0.39125705,2623,147.3,265.48032,0.0574755430354111,0,0,-inf,1000000,0,0,1.7434358596801758e-06,0.00011065788567066193,512.5004510302097,0.0004649646580219269,7.051280999556184,0.0041333530098199844,0.008432233706116676,80.67765939235687,1000,1000,1000,7.048434,3.9693265,3.15237,7.0257583,15.32648,0.74247116,-1.8042691,15.590817,6.112466,3.0059714,-18.912954,1.508178,2545.0
20.367214,39.394142,11.869052,0.5576405,1,181.4,196,167,9.499473669630333,303.01532,319.8583,287.24344,9.94874,7.272723197937012,20.0,-0.15234848896454806,69.08838543793286,100.78646538588285,0.39125705,26997,181.4,303.01532,0.0656519084790511,0,0,-inf,1000000,0,1,1.8738210201263428e-06,0.00024651549756526947,524.6966303363442,0.0006132423877716064,6.952156370505691,0.004029717296361923,0.00814882479608059,78.708226762712,1000,2000,2000,11.6008,19.626616,19.811848,11.566407,32.614464,0.55779177,-3.2479331,8.866789,6.7006516,1.0741535,-33.800426,1.1751112,3547.0
32.78291,41.21398,18.364126,0.42648193,2,244.5,326,201,40.92493127666801,299.0478,439.10916,96.69473,112.75183,7.272723197937012,20.0,0.682824276890897,80.04931562277085,107.3645456259054,0.39125705,32610,244.5,299.0478,0.06478764935357924,0,0,-inf,1000000,0,2,1.7117708921432495e-06,0.00016895681619644165,525.5855549909174,0.0006112009286880493,9.545286029577255,0.003831014037132263,0.008071092888712883,65.35630013234913,1000,3000,3000,20.148836,30.721884,31.958569,20.22959,50.489902,0.42659053,-3.7583365,8.020691,6.405637,1.9259393,-45.470398,1.085789,3936.0
42.788788,49.123978,24.023878,0.32793003,3,205.7,208,203,1.676305461424021,48.879395,52.862915,45.395454,2.2522142,7.272723197937012,20.0,2.141315304947318,88.27827895158,98.67041109301329,0.39125705,39073,205.7,48.879395,0.010292697214326964,0,0,-inf,1000000,0,3,1.816079020500183e-06,0.00014921464025974274,485.3980215433985,0.0004556924104690552,7.73189046792686,0.0037942398339509964,0.008105985820293427,66.60515377670527,1000,4000,4000,22.241995,42.65963,44.02442,22.198145,59.311157,0.3280136,-4.7361655,6.658259,6.031707,1.4531642,-56.38535,0.9930318,4082.0
50.066803,51.64146,33.086376,0.2560699,4,277.4,379,214,48.485461738545915,368.94763,522.2755,151.20573,114.88775,7.272723197937012,20.0,2.412090004305496,83.53439780061555,91.73082139233411,0.39125705,43133,277.4,368.94763,0.08001414705520188,0,0,-inf,1000000,0,4,1.8253922462463379e-06,0.00013529695570468903,495.36019978486,0.0005889926105737686,11.517358919605613,0.003829963505268097,0.008158421143889427,68.28795017115772,1000,5000,5000,31.147339,46.061756,47.356525,30.95154,68.06616,0.2561288,-4.183602,6.347032,5.0965533,0.7875747,-60.952675,0.8234419,4148.0
66.049065,45.06651,30.600794,0.20144212,5,226.9,297,187,32.03263960400391,354.8333,426.35855,182.52614,61.607365,7.272723197937012,20.0,2.6499517162975463,87.70696036677998,91.76038776708722,0.39125705,43728,226.9,354.8333,0.07693958151298533,0,0,-inf,1000000,0,5,1.8943101167678833e-06,0.00025159120559692383,494.783596675843,0.00046454742550849915,9.83641410432756,0.0038670003414154053,0.00810907781124115,66.35993291251361,1000,6000,6000,31.859165,67.52196,67.85878,31.74125,139.40172,0.20148806,-4.2011485,2.8126006,4.541406,0.8313817,-75.220505,0.62938464,4685.0
77.13501,45.802704,33.08109,0.1613812,6,240.1,244,237,2.0223748416156684,121.187485,125.0071,119.02837,1.7846872,7.272723197937012,20.0,2.6913952772391325,86.92186535503383,89.17424752116501,0.39125705,44763,240.1,121.187485,0.02604379119077827,0,0,-inf,1000000,0,6,1.816079020500183e-06,0.00013322383165359497,490.27855714038014,0.0004769451916217804,8.438922861590981,0.003818478435277939,0.00821019895374775,67.02281755954027,1000,7000,7000,30.536953,78.4259,78.321655,30.700594,72.57022,0.16141523,-3.6274726,2.839496,4.0210443,0.83929193,-84.6804,0.55840075,4789.0
84.643105,46.58685,31.309092,0.13370514,7,129.6,133,127,2.1999999999999997,284.72736,293.8236,278.64893,5.2771435,7.272723197937012,20.0,2.7086413413329993,85.23784125098194,86.75278956718861,0.39125705,45025,129.6,284.72736,0.06166818498872533,0,0,-inf,1000000,0,7,1.8738210201263428e-06,0.00013255514204502106,486.54957433231175,0.0005501601845026016,4.2848050110042095,0.0039169080555438995,0.008259758353233337,66.5630315002054,1000,8000,8000,27.99551,89.112625,88.920616,27.926882,117.86747,0.13372727,-2.2887955,2.7527957,3.606678,0.8411888,-93.41241,0.49163342,4900.0
95.16776,52.31676,37.25958,0.119263485,8,217.3,276,185,25.75674668897452,455.65015,530.6498,384.31702,41.671837,7.272723197937012,20.0,2.555246398235698,83.56855887146125,85.67281624804079,0.39125705,44364,217.3,455.65015,0.09890082283735462,0,0,-inf,1000000,0,8,1.8477439880371094e-06,0.00015189126133918762,515.6295557394624,0.0005774237215518951,7.109993491321802,0.003892699256539345,0.008151939138770103,67.95288912765682,1000,9000,9000,28.828566,106.02295,105.92061,28.98865,131.25615,0.119271055,-0.14789006,4.2353787,3.4652393,0.88667107,-109.90834,0.49248886,4936.0
105.92747,53.76365,42.800873,0.110466234,9,64.1,65,64,0.30000000000000004,41.40789,44.944828,39.19597,1.4699353,7.272723197937012,20.0,2.636532035576064,88.03461024303783,86.75889035217881,0.39125705,43157,64.1,41.40789,0.008665156442085584,0,0,-inf,1000000,0,9,1.7099082469940186e-06,0.00030027516186237335,500.9348006770015,0.0005054213106632233,2.2661576252430677,0.004006696864962578,0.008188964799046516,67.02633981406689,1000,10000,10000,42.14811,105.00879,105.097305,42.158604,148.31586,0.11047458,-0.0042779627,4.5292068,3.279822,0.9776274,-110.01574,0.48799664,4884.0
