Q-avg,Q-std,Q_loss,alpha,epoch,evaluation/episode-length-avg,evaluation/episode-length-max,evaluation/episode-length-min,evaluation/episode-length-std,evaluation/return-average,evaluation/return-max,evaluation/return-min,evaluation/return-std,model/max_penalty,model/mean_rollout_length,model/mean_rollout_reward,model/origin_ret,model/penalty_ret,model/val_loss,model/valid_num,perf/AverageLength,perf/AverageReturn,perf/NormalizedReturn,sampler/episodes,sampler/last-path-return,sampler/max-path-return,sampler/pool-size,sampler/total-samples,time-step,times/epoch_after_hook,times/epoch_before_hook,times/epoch_rollout_model,times/evaluation_metrics,times/evaluation_paths,times/timestep_after_hook,times/timestep_before_hook,times/train,timestep,timesteps_total,train-steps,training/Q/q1_loss,training/sac_Q/q1,training/sac_Q/q2,training/sac_Q/q2_loss,training/sac_Q/q_global_norm,training/sac_pi/alpha,training/sac_pi/alpha_loss,training/sac_pi/logp_pi,training/sac_pi/pi_entropy,training/sac_pi/pi_global_norm,training/sac_pi/policy_loss,training/sac_pi/std,training/sac_pi/valid_num
11.0922575,22.542017,6.8108635,0.7408219,0,231.0,245,216,10.881176406988354,300.8417,362.52692,172.20107,69.90132,7.2385573387146,20.0,-4.605988565415402,34.92500415994948,87.97197178002239,0.40512508,9401,231.0,300.8417,0.06517842333804644,0,0,-inf,1000000,0,0,1.912936568260193e-06,0.00010390020906925201,507.84078379906714,0.0005157813429832458,9.455294717103243,0.003826567903161049,0.008333466947078705,78.8708262797445,1000,1000,1000,5.9861016,11.898893,10.283724,6.001269,12.414948,0.7410325,-1.8653508,7.240135,6.995632,1.3813863,-21.741217,1.267835,3483.0
20.725536,32.27127,10.964879,0.56128794,1,164.2,173,158,5.455272678794342,282.5187,291.6224,275.58252,5.643293,7.2385573387146,20.0,-0.05533154984832,65.12703927077963,101.39777275275111,0.40512508,29028,164.2,282.5187,0.06118706824446517,0,0,-inf,1000000,0,1,1.6670674085617065e-06,0.00026591308414936066,510.49181151762605,0.000586850568652153,8.707528412342072,0.00374455563724041,0.008471481502056122,77.46084404550493,1000,2000,2000,12.141903,23.36839,22.484425,12.21774,38.400295,0.5614326,-2.9816687,6.581604,6.694983,1.2462718,-34.59254,1.081588,3948.0
34.881336,36.85464,18.613554,0.43065822,2,177.1,188,166,6.378871373526825,301.75217,313.24548,289.58167,7.1794357,7.2385573387146,20.0,1.2021893282638385,84.64673476925064,104.95017733101189,0.40512508,31774,177.1,301.75217,0.06537675195435719,0,0,-inf,1000000,0,2,1.5702098608016968e-06,0.00012943148612976074,499.8713388275355,0.0004728417843580246,8.25498092547059,0.003696797415614128,0.008432077243924141,65.81024104170501,1000,3000,3000,18.440863,33.930656,32.631447,18.397945,72.68794,0.43076885,-3.7786746,6.7804823,6.476786,1.0574064,-44.61929,1.0590855,4027.0
41.390816,40.32342,24.772442,0.3301494,3,207.2,235,189,13.548431643551957,340.7144,368.67023,323.128,13.738739,7.2385573387146,20.0,2.2230070562683504,88.88187902885058,101.00827229535938,0.40512508,39903,207.2,340.7144,0.07386401216232664,0,0,-inf,1000000,0,3,1.691281795501709e-06,0.00012722983956336975,491.9372654929757,0.00048774294555187225,9.651220887899399,0.003619791939854622,0.008470075204968452,65.44431314989924,1000,4000,4000,22.254967,40.98385,39.732063,22.016815,52.713863,0.33023503,-4.7138023,5.582594,6.1313972,1.7969712,-50.8428,0.96217847,4277.0
52.749123,42.73387,26.97274,0.25879315,4,189.8,219,172,13.212115651930995,304.28778,337.21167,283.65997,14.643867,7.2385573387146,20.0,2.3205885495883636,86.0652753865431,94.0234146346867,0.40512508,41408,189.8,304.28778,0.06592909256384338,0,0,-inf,1000000,0,4,1.6652047634124756e-06,0.00011897273361682892,486.301129296422,0.0004914384335279465,8.82849213667214,0.0037312544882297516,0.008508129045367241,67.99077053926885,1000,5000,5000,27.870836,52.056274,51.51412,27.66039,56.38246,0.25885305,-4.0081997,4.9857087,5.1682215,0.8839217,-62.30062,0.77056366,4477.0
58.448265,42.718872,29.265617,0.20294125,5,186.6,200,166,11.253443917308157,313.57892,328.346,291.66296,11.984586,7.2385573387146,20.0,2.399494423222058,81.92118183452847,89.28689935595453,0.40512508,43771,186.6,313.57892,0.0679530097017746,0,0,-inf,1000000,0,5,1.6614794731140137e-06,0.00030986592173576355,492.9537490978837,0.0004472639411687851,6.9562233202159405,0.0037306807935237885,0.008576339110732079,67.33697864599526,1000,6000,6000,30.0312,62.04368,62.01065,30.135431,91.4803,0.20298764,-3.7427082,3.0249827,4.469455,1.2452486,-68.18845,0.61823744,4733.0
73.34665,40.39141,29.158323,0.1607324,6,113.1,115,111,1.1357816691600546,224.604,227.66594,221.67593,1.6547072,7.2385573387146,20.0,2.824275768261131,89.31089227696644,91.20400084741294,0.40512508,44376,113.1,224.604,0.04857133005062236,0,0,-inf,1000000,0,6,1.776963472366333e-06,0.00012107379734516144,487.6761402003467,0.0004037562757730484,4.106821967288852,0.0036273710429668427,0.008732806891202927,66.96792908757925,1000,7000,7000,29.722319,75.38176,75.551186,29.773905,106.664314,0.16076674,-3.0918221,3.3315988,3.7843876,1.0111201,-81.358894,0.52849686,4807.0
90.32656,42.85844,32.80608,0.13314447,7,91.3,94,90,1.1,189.06998,192.34038,185.58691,2.2267172,7.2385573387146,20.0,2.808429819158331,85.5839469136015,85.84124781288683,0.40512508,45133,91.3,189.06998,0.04083084349396578,0,0,-inf,1000000,0,7,1.7397105693817139e-06,7.893703877925873e-05,487.0413580387831,0.0004106350243091583,3.4851167518645525,0.0037405993789434433,0.008541878312826157,66.85991716943681,1000,8000,8000,36.030254,85.33532,85.7289,36.01268,153.32664,0.13316673,-2.1980617,4.017628,3.3946395,0.7780769,-91.017494,0.52048147,4833.0
92.35625,50.772022,34.23609,0.11940173,8,256.4,332,190,46.21947641416981,165.73518,409.86267,78.05861,92.59802,7.2385573387146,20.0,2.767871476647159,84.77540896946685,85.19267143000424,0.40512508,45183,256.4,165.73518,0.03574775365122056,0,0,-inf,1000000,0,8,7.580965757369995e-06,0.0001271963119506836,490.1858088504523,0.0008237939327955246,11.37733842805028,0.0036748945713043213,0.008450862020254135,65.61044911108911,1000,9000,9000,38.550346,96.75307,97.268616,38.552055,161.38779,0.119413264,-0.7447466,3.854034,3.1273322,1.1321068,-100.62868,0.4560232,4924.0
105.00303,48.857018,30.846859,0.11337259,9,252.4,378,186,56.414891651052564,138.60681,262.32822,73.17236,55.44977,7.2385573387146,20.0,2.843830274878511,86.54255452464335,85.77747624346316,0.40512508,45190,252.4,138.60681,0.0298382967897599,0,0,-inf,1000000,0,9,1.7192214727401733e-06,0.00026359036564826965,486.76758432760835,0.0005624797195196152,9.421128580346704,0.00379255972802639,0.008521564304828644,64.91746782511473,1000,10000,10000,33.781445,104.8761,104.892456,33.662422,134.87396,0.11336396,0.45707276,4.2011676,3.6349704,0.74655217,-108.6281,0.49775746,4964.0
106.9106,51.246002,39.10581,0.105416946,10,249.0,347,189,55.93567734460717,225.64551,534.5514,76.86388,189.2501,7.2385573387146,20.0,2.7463223934999923,88.72918074905346,86.21208233998836,0.40512508,44250,249.0,225.64551,0.04879820405402296,0,0,-inf,1000000,0,10,1.7471611499786377e-06,0.00011941231787204742,483.953915534541,0.0005186274647712708,9.172316482290626,0.0036710333079099655,0.008274616673588753,65.15060870721936,1000,11000,11000,46.389965,111.39172,112.191696,45.970295,156.51172,0.10542916,-0.2498281,4.299126,3.0474217,1.2026253,-114.71072,0.4569169,4980.0
116.944435,56.365337,45.79725,0.11021807,11,100.0,112,93,6.29285308902091,-20.18893,-8.712044,-38.7888,9.206978,7.2385573387146,20.0,2.733506112723385,84.41874173236832,85.3480868189621,0.40512508,44941,100.0,-20.18893,-0.004752668738294675,0,0,-inf,1000000,0,11,1.7266720533370972e-06,0.00012074597179889679,492.5407964345068,0.0006289593875408173,3.433347227051854,0.003743976354598999,0.00839800015091896,64.77791913598776,1000,12000,12000,36.879677,120.38252,120.62815,36.837776,94.23319,0.11023449,-0.34486127,4.003013,3.2766495,0.91186965,-124.46783,0.47043556,4957.0
131.80948,56.909676,52.52497,0.11769781,12,300.6,400,245,57.85706525567988,742.8949,1200.4517,464.77948,280.6613,7.2385573387146,20.0,2.79925386616767,84.44813843980131,86.00988545781911,0.40512508,45279,300.6,742.8949,0.16147223156543244,0,0,-inf,1000000,0,12,1.7229467630386353e-06,0.00013638101518154144,487.79933977127075,0.0005381088703870773,12.914999913424253,0.0037837885320186615,0.008728617802262306,66.78355605341494,1000,13000,13000,46.889343,134.01778,134.49661,46.888935,177.22174,0.11766274,0.7010259,4.3985453,3.7079487,0.8670221,-137.00224,0.48928338,5003.0
127.86754,56.659172,45.8186,0.11947081,13,162.5,214,141,26.03555261560622,299.20627,324.95203,273.49612,14.249086,7.2385573387146,20.0,2.8991469706498325,88.69800532352806,86.82380282161475,0.40512508,44389,162.5,299.20627,0.06482217105715575,0,0,-inf,1000000,0,13,2.084299921989441e-06,0.00032554566860198975,490.24414608441293,0.000567115843296051,6.053020756691694,0.0037421993911266327,0.00848441943526268,64.39843230508268,1000,14000,14000,56.867928,128.63268,128.8844,56.721878,212.45654,0.11948007,-0.19422515,4.3946886,3.555387,1.066176,-133.57848,0.5037492,4905.0
131.32986,59.73897,58.394817,0.118000254,14,1000.0,1000,1000,0.0,1059.483,1063.516,1053.4465,4.0241547,7.2385573387146,20.0,2.700730489132594,83.31303120047833,84.72243501475155,0.40512508,45280,1000.0,1059.483,0.2304355999526098,0,0,-inf,1000000,0,14,1.8738210201263428e-06,0.0001687314361333847,496.56111858040094,0.0006492380052804947,42.64315029233694,0.003901563584804535,0.00883663073182106,63.995364528149366,1000,15000,15000,58.295834,131.96541,133.01668,58.675953,241.21043,0.11799482,0.462579,4.918828,3.5076523,0.74286675,-136.4602,0.50263226,4931.0
132.879,59.15939,62.023323,0.13524169,15,145.2,242,83,65.04429260127287,58.84057,111.78252,33.480873,28.082785,7.2385573387146,20.0,2.7375091733743995,84.55428450154753,86.61241187403381,0.40512508,45215,145.2,58.84057,0.012462570426454222,0,0,-inf,1000000,0,15,1.86823308467865e-06,0.0001309085637331009,495.35880478844047,0.0004874337464570999,5.257858019322157,0.003856690600514412,0.008582165464758873,63.34023874998093,1000,16000,16000,57.049603,134.88051,135.24374,56.721622,263.2241,0.13521172,0.9031364,4.300092,3.773442,0.78525096,-137.95038,0.4912033,4991.0
137.1897,64.524605,62.781586,0.123589836,16,831.5,1000,306,246.04765798519603,4096.5254,5165.3174,1040.3043,1441.6794,7.2385573387146,20.0,2.840295980306198,87.41639590456518,83.78019088773608,0.40512508,44770,831.5,4096.5254,0.8920038900110748,0,0,-inf,1000000,0,16,1.6782432794570923e-06,0.00010300427675247192,509.982872242108,0.0006110705435276031,28.94609895348549,0.0035981573164463043,0.008182216435670853,63.752632942050695,1000,17000,17000,56.73678,139.90771,140.09027,56.549892,175.03821,0.12360708,-0.3413262,3.6955743,3.5057416,0.7616567,-143.38408,0.47378147,4987.0
142.18083,63.62934,60.266018,0.13348629,17,167.2,250,154,27.77336853894392,424.59018,799.0281,371.52786,125.10277,7.2385573387146,20.0,2.7825499908222753,84.17068256670524,84.03788275342941,0.40512508,45468,167.2,424.59018,0.0921349345619494,0,0,-inf,1000000,0,17,1.6354024410247803e-06,0.0002990011125802994,487.4813957028091,0.00047471001744270325,5.475480679422617,0.0035580862313508987,0.0081435926258564,62.69736664369702,1000,18000,18000,54.369873,133.52795,133.69495,54.343613,151.36807,0.13348399,-0.08446242,4.6011567,3.6994553,0.8264866,-137.42867,0.50832045,4956.0
147.01553,70.24488,52.071495,0.13667853,18,280.9,486,150,116.51562127028289,932.9344,1882.4543,396.8182,514.93536,7.2385573387146,20.0,2.9071216654107017,85.68769513787717,82.98985859712184,0.40512508,45596,280.9,932.9344,0.20286911887826076,0,0,-inf,1000000,0,18,1.8272548913955688e-06,0.0001622624695301056,475.9904206842184,0.0005024410784244537,9.140705771744251,0.0035474691540002823,0.008222514763474464,62.08324162475765,1000,19000,19000,75.957184,153.6821,154.1491,76.03109,227.60378,0.13662635,0.67454344,4.290954,3.8383286,1.0726192,-156.34467,0.5014123,5016.0
154.04372,61.323685,77.29837,0.13193695,19,272.7,1000,34,344.27664747990093,675.9523,2703.7854,29.332165,1048.5127,7.2385573387146,20.0,2.890212151668806,85.98331835980893,83.62926456417858,0.40512508,45148,272.7,675.9523,0.1468899129741451,0,0,-inf,1000000,0,19,1.6316771507263184e-06,0.0001324620097875595,487.6503728758544,0.0004612486809492111,9.109028115868568,0.0034681949764490128,0.007982006296515465,59.83695290051401,1000,20000,20000,93.13231,149.72087,150.33875,93.69082,361.4974,0.13196278,0.08325969,5.374756,3.6187809,1.1950817,-155.22287,0.535488,4902.0
152.44972,73.21745,70.18191,0.1379548,20,168.5,177,161,4.674398357008098,362.4694,385.8423,346.33762,12.005052,7.2385573387146,20.0,2.785546847176193,85.47755411738585,85.66729035952508,0.40512508,45469,168.5,362.4694,0.07860297187447421,0,0,-inf,1000000,0,20,1.735985279083252e-06,0.00012753717601299286,487.86728028580546,0.0004473123699426651,5.463218515738845,0.0035070180892944336,0.008113719522953033,60.492972465232015,1000,21000,21000,60.205273,159.1207,159.2295,59.947285,197.52946,0.13796552,0.461733,4.788784,3.5209126,0.91006017,-164.3,0.4905015,4937.0
149.98195,70.55671,82.10332,0.13850309,21,751.7,1000,127,379.7759997682844,2540.3208,3738.6252,165.53365,1530.83,7.2385573387146,20.0,2.785656266933554,85.77867070332327,84.21500932885886,0.40512508,44966,751.7,2540.3208,0.5530110515881749,0,0,-inf,1000000,0,21,1.7043203115463257e-06,0.0003205239772796631,479.36466764099896,0.0005006175488233566,25.740460373461246,0.0035122986882925034,0.008028412237763405,60.77786644920707,1000,22000,22000,69.22832,157.84277,157.64468,69.07129,209.55934,0.1385349,-0.52319866,3.8340554,3.544398,1.0856215,-161.89583,0.48691246,4990.0
156.4665,71.48237,65.57136,0.13754348,22,333.5,1000,55,247.6760989679868,897.0072,3116.1865,106.410484,825.229,7.2385573387146,20.0,2.756925967146214,82.75659779476186,82.20489723795593,0.40512508,45781,333.5,897.0072,0.1950429895125966,0,0,-inf,1000000,0,22,1.773238182067871e-06,0.00011053681373596191,488.9575976561755,0.0005028229206800461,12.745450232177973,0.003534851595759392,0.008046191185712814,61.656920870766044,1000,23000,23000,79.79932,150.47372,151.38042,79.63584,331.82806,0.13756835,0.00064633467,5.2697773,3.7056518,1.0719472,-156.68097,0.5414636,4922.0
152.61563,77.25116,77.23481,0.14032148,23,1000.0,1000,1000,0.0,4965.3057,5059.703,4907.953,47.049747,7.2385573387146,20.0,2.734757047103012,84.7585186819876,84.16126622971655,0.40512508,45243,1000.0,4965.3057,1.0812529725420366,0,0,-inf,1000000,0,23,1.7974525690078735e-06,0.00012576952576637268,483.20910689234734,0.0006173215806484222,35.103607423603535,0.003478897735476494,0.008030246943235397,59.30621539615095,1000,24000,24000,75.1789,152.91483,153.82877,75.13491,268.57663,0.14033492,-0.012870594,4.738368,3.6980948,1.2267838,-158.82878,0.5092316,4928.0
153.29073,75.21455,87.06397,0.14461571,24,950.0,1000,681,104.65275916095094,4661.316,4996.1055,3218.7192,576.163,7.2385573387146,20.0,2.716078185900472,85.28723450508373,84.89819234440446,0.40512508,45369,950.0,4661.316,1.0150339499583005,0,0,-inf,1000000,0,24,1.6633421182632446e-06,0.00013027526438236237,481.13673274964094,0.0005131252110004425,31.911671912297606,0.0034515131264925003,0.008008567616343498,60.876091949641705,1000,25000,25000,69.94464,146.95715,147.19028,70.05311,331.3495,0.14456947,0.5298475,5.0332346,3.8282592,1.1830487,-154.5694,0.53626853,4880.0
156.87112,73.50731,71.14274,0.13735361,25,138.1,140,137,1.0440306508910548,380.5639,399.75687,365.9688,9.6815405,7.2385573387146,20.0,2.8866094056973846,86.11571260393087,82.31113190540731,0.40512508,45314,138.1,380.5639,0.08254455535344402,0,0,-inf,1000000,0,25,1.6521662473678589e-06,0.0002735629677772522,489.65958106704056,0.0006905682384967804,4.5701205637305975,0.003543991595506668,0.007984274998307228,59.330335572361946,1000,26000,26000,82.62788,158.77759,159.20451,82.419655,263.92816,0.13734525,0.031685304,4.5700417,3.7617588,0.9170185,-164.09857,0.5325315,4953.0
149.75624,83.82868,89.48218,0.1426735,26,323.6,1000,147,338.21389681679256,1113.0906,4090.4714,353.55127,1483.151,7.2385573387146,20.0,2.9978736819179317,86.7131640482522,83.53093743233859,0.40512508,45596,323.6,1113.0906,0.2421130963444733,0,0,-inf,1000000,0,26,1.6614794731140137e-06,0.0001244042068719864,471.0177036598325,0.000618593767285347,10.502150375396013,0.003501545637845993,0.008203616365790367,60.45683354139328,1000,27000,27000,59.4448,160.83945,160.50215,59.741734,251.9712,0.1426941,-0.26541197,4.0865326,3.5855134,1.0693297,-165.19598,0.49470183,4956.0
156.87633,76.36081,90.46519,0.14856632,27,1000.0,1000,1000,0.0,1112.554,1119.7327,1104.8362,4.917118,7.2385573387146,20.0,2.7042843656691113,82.14875402828883,81.92703106380999,0.40512508,45249,1000.0,1112.554,0.24199620251899873,0,0,-inf,1000000,0,27,1.7061829566955566e-06,0.00010116025805473328,484.06419448554516,0.0005660522729158401,35.29434601031244,0.0035211164504289627,0.008098607882857323,62.38608272746205,1000,28000,28000,80.187805,165.42766,165.83226,80.08212,257.084,0.14854647,0.3500827,4.39003,3.519258,1.3039576,-169.60497,0.4799934,4968.0
166.57193,70.8321,77.59818,0.14231806,28,181.7,201,33,49.59042246240699,357.86765,429.1373,46.833237,105.58672,7.2385573387146,20.0,2.8628793063083844,85.83829463404574,83.36838601573945,0.40512508,45376,181.7,357.86765,0.077600559457316,0,0,-inf,1000000,0,28,1.7695128917694092e-06,0.00012898072600364685,492.57023002393544,0.0005967505276203156,7.540890388190746,0.003444720059633255,0.008007926866412163,59.38418171182275,1000,29000,29000,75.364044,165.0352,164.87692,74.84513,182.97299,0.14232872,-0.0903761,4.6053147,3.5900528,1.5421193,-170.14409,0.511938,4926.0
162.93022,74.74286,80.06867,0.13607933,29,1000.0,1000,1000,0.0,4293.406,4337.4673,4265.375,23.012653,7.2385573387146,20.0,2.855454729335722,85.41179325104895,83.40626157459914,0.40512508,45487,1000.0,4293.406,0.934890947575611,0,0,-inf,1000000,0,29,1.7266720533370972e-06,0.0002749636769294739,483.68049047514796,0.0006866604089736938,33.77089715376496,0.003503093495965004,0.0080940593034029,61.210157012566924,1000,30000,30000,76.487366,160.80183,160.98465,76.59914,328.4276,0.13608524,0.1615902,4.434043,3.503378,1.2325048,-166.82538,0.49060678,4920.0
169.5727,72.323204,80.24058,0.14565223,30,894.0,1000,397,201.3171627060147,3823.0854,4562.8506,1359.6134,999.88904,7.2385573387146,20.0,2.8967299345359216,85.39644615799928,83.81576564007402,0.40512508,45624,894.0,3823.0854,0.8324396254661393,0,0,-inf,1000000,0,30,1.689419150352478e-06,0.0001245550811290741,506.86589829064906,0.0006522797048091888,30.79319472052157,0.0035013239830732346,0.007959859445691109,60.78019603155553,1000,31000,31000,87.44429,165.42851,165.33073,88.14469,291.0105,0.1456692,-0.6062312,4.359734,3.612325,1.3272815,-171.71814,0.50590134,4924.0
173.98027,72.31946,72.59983,0.148236,31,177.8,189,168,6.177378084592201,469.37344,481.82718,451.6996,8.423454,7.2385573387146,20.0,2.7980483734776427,83.91408554971973,82.73573271265566,0.40512508,45519,177.8,469.37344,0.10189021091222553,0,0,-inf,1000000,0,31,1.7527490854263306e-06,0.00012217648327350616,491.90173310786486,0.0006362274289131165,5.738450149074197,0.003482803702354431,0.007865158841013908,61.20947867631912,1000,32000,32000,81.60409,163.08179,163.41055,82.24354,209.49838,0.1482527,-0.11597181,4.70866,3.8507447,1.3968383,-169.60318,0.5252895,4905.0
161.04199,84.165825,90.08527,0.14568256,32,201.0,213,193,7.402702209328699,529.08075,560.1216,505.22656,20.45792,7.2385573387146,20.0,2.908466891106619,84.98719011905274,83.08968351571501,0.40512508,45612,201.0,529.08075,0.11489643723780035,0,0,-inf,1000000,0,32,1.6558915376663208e-06,0.00012242794036865234,487.54375001974404,0.0005025062710046768,7.8605555556714535,0.003473060205578804,0.008031221106648445,59.8725417368114,1000,33000,33000,80.756645,173.75475,173.98503,80.6227,260.17432,0.14563943,0.52104723,4.0433416,3.6607833,2.2270503,-180.58148,0.489059,4917.0
